ds,yhat,yhat_lower,yhat_upper
2010-01-01,2.0634336950400627,1.479020806747967,2.6276280958723754
2010-02-01,1.9495644403051722,1.4021306525533692,2.5000761651528576
2010-03-01,2.0474335149167495,1.4450279365392527,2.605521007717319
2010-04-01,2.0004028059783474,1.4641468062459695,2.5169220786790696
2010-05-01,2.041338012942532,1.4588032100771293,2.5901129831408394
2010-06-01,1.9604307957856688,1.4336416197325483,2.514019596408312
2010-07-01,1.8984921985161785,1.3354956492315375,2.4256453277130587
2010-08-01,2.007556486793339,1.4535948829599659,2.5746489748278423
2010-09-01,2.0971826657463977,1.5585280149072382,2.696234857740306
2010-10-01,2.079775781668623,1.4875246623334515,2.6542171922916076
2010-11-01,2.0392956597478795,1.4701895627995696,2.6501318193571555
2010-12-01,2.2550393318598507,1.6909141189581962,2.792378534347834
2011-01-01,2.2341147756464,1.7390953017955812,2.813621835648652
2011-02-01,2.162786959241677,1.595992782954229,2.7211265578237134
2011-03-01,2.3424558597883656,1.7743239144146215,2.8937907757312225
2011-04-01,2.2047801079927365,1.641501275055846,2.7661635912138127
2011-05-01,2.241929897141307,1.6545553676360578,2.801494697216656
2011-06-01,2.1249317885573604,1.6177387033629347,2.6892621293549563
2011-07-01,2.0668024851326656,1.4974640378771564,2.627428612478261
2011-08-01,2.214123672224105,1.6598223298868988,2.7453292133075045
2011-09-01,2.378522393302989,1.8572444618846349,2.9390980508623064
2011-10-01,2.3425681523147803,1.8234958544782947,2.892940610864569
2011-11-01,2.2181793542126207,1.619078374700029,2.793468910194727
2011-12-01,2.375679378333122,1.8274391616613652,2.9401641354294745
2012-01-01,2.381610872347453,1.8431462889601422,2.9086809830681237
2012-02-01,2.345074141677937,1.7869484737227743,2.9070816810181337
2012-03-01,2.2530818192561153,1.6711471111512053,2.803036628094182
2012-04-01,2.374763129183521,1.8461758454378274,2.9004060835754673
2012-05-01,2.4164313735702754,1.8363578137850007,2.9720156492908933
2012-06-01,2.4015268354403503,1.833597299228798,2.9734214154627403
2012-07-01,2.3292986287826527,1.7546477678385044,2.8910250639699204
2012-08-01,2.3565681520342006,1.815507366128276,2.9027844009224952
2012-09-01,2.2847092334261827,1.7352459800982947,2.84936169544118
2012-10-01,2.2878764768721878,1.7319741316958577,2.8477202124620837
2012-11-01,2.388300885106567,1.8586991514400464,2.9312619137681275
2012-12-01,2.702080712713674,2.136638899625871,3.265556443340963
2013-01-01,2.608452556539714,2.0613360434363077,3.1602525138444912
2013-02-01,2.444370886257765,1.8736548073357886,3.029522989549503
2013-03-01,2.4633691945627074,1.8988634067189827,3.0393487424528534
2013-04-01,2.5117094756751426,1.928372876571983,3.0728199560482468
